Achtelky	achtelky
Plzeň, U Práce	plzeň u práce; plzně u práce; plzni u práce
Plzeň, U Přehrady	plzeň u přehrady; plzně u přehrady; plzni u přehrady
Plzeň, U Radbuzy	plzeň u radbuzy; plzně u radbuzy; plzni u radbuzy
Plzeň, U Staré Kovárny	plzeň u staré kovárny; plzně u staré kovárny; plzni u staré kovárny
Plzeň, U Světovaru	plzeň u světovaru; plzně u světovaru; plzni u světovaru
Plzeň, U Teplárny	plzeň u teplárny; plzně u tepláren; plzni u teplárnám; plzni u teplárnách
Plzeň, U Tesca	plzeň u tesca; plzně u tesca; plzni u tesca
Plzeň, U Továrničky	plzeň u továrničky; plzně u továrničky; plzni u továrničky
Plzeň, U Viaduktu	plzeň u viaduktu; plzně u viaduktu; plzni u viaduktu
Plzeň, U Václava	plzeň u václava; plzně u václava; plzni u václava
Plzeň, U Zvonu	plzeň u zvonu; plzně u zvonu; plzni u zvonu
Plzeň, U Školky	plzeň u školky; plzně u školky; plzni u školky
Plzeň, V Ráji	plzeň v ráji; plzně v ráji; plzni v ráji
Plzeň, V Zahradách	plzeň v zahradách; plzně v zahradách; plzni v zahradách
Plzeň, Valcha	plzeň valcha; plzně valchy; plzni valše; plzeň valchu
Plzeň, Vinice	plzeň vinice; plzně vinic; plzně vinice; plzně vinicí; plzni vinici; plzni vinicím; plzeň vinici; plzni vinicích
Plzeň, Višňovka	plzeň višňovka; plzně višňovky; plzni višňovce; plzeň višňovku
Plzeň, Vltava	plzeň vltava; plzně vltavy; plzni vltavě; plzeň vltavu
Plzeň, Vodárna	plzeň vodárna; plzně vodárny; plzni vodárně; plzeň vodárnu
Plzeň, Vozovna Slovany	plzeň vozovna slovany; plzně vozovny slovany; plzni vozovně slovany; plzeň vozovnu slovany
Plzeň, Věznice Bory	plzeň věznice bory; plzně věznic bory; plzně věznice bory; plzně věznicí bory; plzni věznici bory; plzni věznicím bory; plzeň věznici bory; plzni věznicích bory
Plzeň, Vřesová	plzeň vřesová; plzně vřesové; plzně vřesový; plzni vřesové; plzni vřesový; plzeň vřesovou
Plzeň, Zadní Roudná	plzeň zadní roudná; plzně zadní roudné; plzně zadní roudný; plzni zadní roudné; plzni zadní roudný; plzeň zadní roudnou
Plzeň, Zadní Skvrňany	plzeň zadní skvrňany; plzně zadních skvrňan; plzni zadnim skvrňanum; plzni zadnim skvrňanům; plzni zadním skvrňanum; plzni zadním skvrňanům; plzni zadních skvrňanech; plzni zadních skvrňanách
Plzeň, Zelenohorská	plzeň zelenohorská; plzně zelenohorský; plzně zelenohorské; plzni zelenohorský; plzni zelenohorské; plzeň zelenohorskou
Plzeň, Zimní stadion	plzeň zimní stadion; plzně zimního stadionu; plzně zimního stadiónu; plzni zimnímu stadionu; plzni zimnímu stadiónu; plzeň zimní stadión; plzni zimnim stadionu; plzni zimnim stadiónu; plzni zimnim stadioně; plzni zimnim stadióně; plzni zimním stadionu; plzni zimním stadiónu; plzni zimním stadioně; plzni zimním stadióně
Plzeň, Zoologická zahrada	plzeň zoologická zahrada; plzně zoologický zahrady; plzně zoologické zahrady; plzni zoologický zahradě; plzni zoologické zahradě; plzeň zoologickou zahradu
Plzeň, Zábělá	plzeň zábělá; plzně zábělé; plzně zábělý; plzni zábělé; plzni zábělý; plzeň zábělou
Plzeň, Zámecké náměstí	plzeň zámecké náměstí; plzně zámeckého náměstí; plzně zámeckýho náměstí; plzni zámeckýmu náměstí; plzni zámeckému náměstí; plzeň zámecký náměstí; plzni zámeckym náměstí; plzni zámeckým náměstí; plzni zámeckém náměstí
Plzeň, Západočeská univerzita	plzeň západočeská univerzita; plzně západočeský university; plzně západočeský univerzity; plzně západočeské university; plzně západočeské univerzity; plzni západočeský universitě; plzni západočeský univerzitě; plzni západočeské universitě; plzni západočeské univerzitě; plzeň západočeskou univerzitu; plzeň západočeskou universitu
Plzeň, Zátiší	plzeň zátiší; plzně zátiší; plzni zátiší
Plzeň, Ústřední hřbitov	plzeň ústřední hřbitov; plzně ústředního hřbitova; plzni ústřednímu hřbitovu; plzni ústřednim hřbitovu; plzni ústřednim hřbitově; plzni ústředním hřbitovu; plzni ústředním hřbitově
Plzeň, Úřad Lochotín	plzeň úřad lochotín; plzně úřadu lochotín; plzni úřadu lochotín; plzni úřadě lochotín
Plzeň, Čechurov	plzeň čechurov; plzně čechurova; plzni čechurovu; plzni čechurovovi; plzeň čechurova
Plzeň, Čermákova	plzeň čermákova; plzně čermákovy; plzni čermákově; plzeň čermákovu
Plzeň, Černice	plzeň černice; plzně černic; plzně černice; plzně černicí; plzni černici; plzni černicím; plzeň černici; plzni černicích
Plzeň, Červený Hrádek	plzeň červený hrádek; plzně červeného hrádku; plzně červenýho hrádku; plzni červenému hrádku; plzni červenýmu hrádku; plzeň červenej hrádek; plzni červenym hrádku; plzni červeným hrádku; plzni červeném hrádku
Plzeň, Čisticí stanice	plzeň čisticí stanice; plzně čisticí stanice; plzni čisticí stanici; plzeň čisticí stanici
Plzeň, Částkova	plzeň částkova; plzně částkovy; plzni částkově; plzeň částkovu
Plzeň, Šimerova	plzeň šimerova; plzně šimerovy; plzni šimerově; plzeň šimerovu
Plzeň, Škoda Osmá brána	plzeň škoda osmá brána; plzně škody osmá brány; plzni škodě osmá bráně; plzeň škodu osmá bránu
Plzeň, Škoda Sedmá brána	plzeň škoda sedmá brána; plzně škody sedmá brány; plzni škodě sedmá bráně; plzeň škodu sedmá bránu
Plzeň, Škoda Třetí brána	plzeň škoda třetí brána; plzně škody třetí brány; plzni škodě třetí bráně; plzeň škodu třetí bránu
Plzeň, Šumavská	plzeň šumavská; plzně šumavský; plzně šumavské; plzni šumavský; plzni šumavské; plzeň šumavskou
Plzeň, Švihovská	plzeň švihovská; plzně švihovské; plzně švihovský; plzni švihovské; plzni švihovský; plzeň švihovskou
Plzeň, Železniční poliklinika	plzeň železniční poliklinika; plzně železniční polikliniky; plzni železniční poliklinice; plzeň železniční polikliniku
Plzeň, Žlutická	plzeň žlutická; plzně žlutický; plzně žlutické; plzni žlutický; plzni žlutické; plzeň žlutickou
Plzeňka	plzeňka; plzeňňky; plzeňňce; plzeňňku
Pod Dubovkou	pod dubovkou
Pod Kyjovem	pod kyjovem
Pod Záhorskem	pod záhorskem
Pod Zámečkem	pod zámečkem
Podhájí	podhájí
Poliklinika Bory	poliklinika bory; polikliniky bory; poliklinice bory; polikliniku bory
Poliklinika Doubravka	poliklinika doubravka; polikliniky doubravka; poliklinice doubravka; polikliniku doubravka
Poliklinika Slovany	poliklinika slovany; polikliniky slovany; poliklinice slovany; polikliniku slovany
Pošta Francouzská	pošta francouzská; pošty francouzská; poště francouzská; poštu francouzská
Pošta logistika	pošta logistika; pošty logistika; poště logistika; poštu logistika
Prazdroj	prazdroj; prazdroje; prazdroji
Prokopova	prokopova; prokopovy; prokopově; prokopovu
Průmyslová	průmyslová; průmyslové; průmyslový; průmyslovou
Přední Skvrňany	přední skvrňany; předních skvrňan; přednim skvrňanum; přednim skvrňanům; předním skvrňanum; předním skvrňanům; předních skvrňanech; předních skvrňanách
Přeučilova	přeučilova; přeučilovy; přeučilově; přeučilovu
Radnice Slovany	radnice slovany; radnic slovany; radnicí slovany; radnici slovany; radnicím slovany; radnicích slovany
Radobyčice	radobyčice; radobyčic; radobyčicům; radobyčicím; radobyčicích
Radčice	radčice; radčic; radčicům; radčicím; radčicích
Rolnické náměstí	rolnické náměstí; rolnického náměstí; rolnickýho náměstí; rolnickýmu náměstí; rolnickému náměstí; rolnický náměstí; rolnickym náměstí; rolnickým náměstí; rolnickém náměstí
Rondel	rondel; rondelu
Rozcestí Podhájí	rozcestí podhájí
Rozcestí Újezd	rozcestí újezd
Révová	révová; révové; révový; révovou
Sady Pětatřicátníků	sady pětatřicátníků; sadů pětatřicátníků; sadum pětatřicátníků; sadům pětatřicátníků; sadech pětatřicátníků; sadách pětatřicátníků
Samaritská	samaritská
Severka	severka; severky; severce; severku
Severní	severní; severních; severnim; severním
Skautská	skautská; skautský; skautské; skautskou
Skvrňany	skvrňany; skvrňan; skvrňanum; skvrňanům; skvrňanech; skvrňanách
Sladová	sladová; sladové; sladový; sladovou
Slovanské údolí	slovanské údolí; slovanskýho údolí; slovanského údolí; slovanskýmu údolí; slovanskému údolí; slovanský údolí; slovanskym údolí; slovanským údolí; slovanském údolí
Slovany	slovany; slovanů; slovanum; slovanům; slovanech
Slupská	slupská; slupské; slupský; slupskou
Sokolovská	sokolovská; sokolovské; sokolovský; sokolovskou
Sokolská	sokolská; sokolský; sokolské; sokolskou
Sportovní	sportovní; sportovních; sportovnim; sportovním
Stadion Lokomotivy	stadion lokomotivy; stadionu lokomotivy; stadiónu lokomotivy; stadión lokomotivy; stadioně lokomotivy; stadióně lokomotivy
Staré letiště	staré letiště; starého letiště; starýho letiště; starému letišti; starýmu letišti; starý letiště; starym letišti; starým letišti; starém letišti
Stavební stroje	stavební stroje; stavebních strojů; stavebnim strojum; stavebnim strojům; stavebním strojum; stavebním strojům; stavebních strojích
Sulislavská	sulislavská
Svatojirská	svatojirská
Světovar	světovar; světovaru
Sídliště Bory	sídliště bory; sídlišti bory
Sídliště Košutka	sídliště košutka; sídlišti košutka
Techmania	techmania
Teplárna	teplárna; teplárny; teplárně; teplárnu
Terezie Brzkové	terezie brzkové; terezii brzkové
Tleskačova	tleskačova; tleskačovy; tleskačově; tleskačovu
Tomanova	tomanova; tomanovy; tomanově; tomanovu
Tylova	tylova; tylovy; tylově; tylovu
Tyršův most	tyršův most; tyršova mostu; tyršovu mostu; tyršuv most; tyršovu mostě; tyršově mostu; tyršově mostě
Tyršův sad	tyršův sad; tyršova sadu; tyršovu sadu; tyršuv sad; tyršově sadu
Těšínská	těšínská; těšínský; těšínské; těšínskou
U Apolla	u apolla
U Astry	u astry
U Bouzků	u bouzků
U Darebáka	u darebáka
U Družby	u družby
U Dráhy	u dráhy
U Duhy	u duhy
U Gery	u gery
U Hřbitova	u hřbitova
U Ježíška	u ježíška
U Kasáren	u kasáren
U Kondrů	u kondrů
U Letiště	u letiště
U Luny	u luny
U Nové Hospody	u nové hospody
U Panasoniku	u panasoniku
U Pietasu	u pietasu
U Plynárny	u plynárny
U Práce	u práce
U Přehrady	u přehrady
U Radbuzy	u radbuzy
U Staré Kovárny	u staré kovárny
U Světovaru	u světovaru
U Teplárny	u teplárny
U Tesca	u tesca
U Továrničky	u továrničky
U Václava	u václava
U Zvonu	u zvonu
U prodejny	u prodejny
U Školky	u školky
V Ráji	v ráji
V Zahradách	v zahradách
Valcha	valcha; valchy; valše; valchu
Vinice	vinice; vinic; vinicím; vinicích
Višňovka	višňovka; višňovky; višňovce; višňovku
Vltava	vltava; vltavy; vltavě; vltavu
Vodárna	vodárna; vodárny; vodárně; vodárnu
Vozovna Slovany	vozovna slovany; vozovny slovany; vozovně slovany; vozovnu slovany
Věznice Bory	věznice bory; věznic bory; věznicí bory; věznici bory; věznicím bory; věznicích bory
Zadní Roudná	zadní roudná; zadní roudné; zadní roudný; zadní roudnou
Zadní Skvrňany	zadní skvrňany; zadních skvrňan; zadnim skvrňanum; zadnim skvrňanům; zadním skvrňanum; zadním skvrňanům; zadních skvrňanech; zadních skvrňanách
Zelenohorská	zelenohorská; zelenohorský; zelenohorské; zelenohorskou
Zimní stadion	zimní stadion; zimního stadionu; zimního stadiónu; zimnímu stadionu; zimnímu stadiónu; zimní stadión; zimnim stadionu; zimnim stadiónu; zimnim stadioně; zimnim stadióně; zimním stadionu; zimním stadiónu; zimním stadioně; zimním stadióně
Zoologická zahrada	zoologická zahrada; zoologický zahrady; zoologické zahrady; zoologický zahradě; zoologické zahradě; zoologickou zahradu; zoo praha; zoo prahy; zoo praze; zoo prahu
Zábělá	zábělá; zábělé; zábělý; zábělou
Zámecké náměstí	zámecké náměstí; zámeckého náměstí; zámeckýho náměstí; zámeckýmu náměstí; zámeckému náměstí; zámecký náměstí; zámeckym náměstí; zámeckým náměstí; zámeckém náměstí
Západočeská univerzita	západočeská univerzita; západočeský university; západočeský univerzity; západočeské university; západočeské univerzity; západočeský universitě; západočeský univerzitě; západočeské universitě; západočeské univerzitě; západočeskou univerzitu; západočeskou universitu
Zátiší	zátiší
Ústřední hřbitov	ústřední hřbitov; ústředního hřbitova; ústřednímu hřbitovu; ústřednim hřbitovu; ústřednim hřbitově; ústředním hřbitovu; ústředním hřbitově
Úřad Lochotín	úřad lochotín; úřadu lochotín; úřadě lochotín
Čechurov	čechurov; čechurova; čechurovu; čechurovovi
Čermákova	čermákova; čermákovy; čermákově; čermákovu
Čisticí stanice	čisticí stanice; čisticí stanici
Částkova	částkova; částkovy; částkově; částkovu
Šimerova	šimerova; šimerovy; šimerově; šimerovu
Škoda Osmá brána	škoda osmá brána; škody osmá brány; škodě osmá bráně; škodu osmá bránu
Škoda Sedmá brána	škoda sedmá brána; škody sedmá brány; škodě sedmá bráně; škodu sedmá bránu
Škoda Třetí brána	škoda třetí brána; škody třetí brány; škodě třetí bráně; škodu třetí bránu
Švihovská	švihovská; švihovské; švihovský; švihovskou
Železniční poliklinika	železniční poliklinika; železniční polikliniky; železniční poliklinice; železniční polikliniku
Žlutická	žlutická; žlutický; žlutické; žlutickou
Albertov	albertov; albertova; albertovu; albertově
Ametystová	ametystová; ametystové; ametystový; ametystovou
Amforová	amforová; amforové; amforový; amforovou
Anděl	anděl; anděla; andělu; andělovi
Antala Staška	antala staška
Apolinářská	apolinářská; apolinářské; apolinářský; apolinářskou
Arbesovo náměstí	arbesovo náměstí; arbesova náměstí; arbesovu náměstí; arbesově náměstí
Argentinská	argentinská; argentinský; argentinské; argentinskou
Avia Letňany	avia letňany; avie letňany; avii letňany
Baba dvě	baba dvě; baby dvě; babě dvě; babu dvě; baba římská dvě; baby římská dvě; babě římská dvě; babu římská dvě
Baba jedna	baba jedna; baby jedna; babě jedna; babu jedna; baba římská jedna; baby římská jedna; babě římská jedna; babu římská jedna
Bachova	bachova; bachovy; bachově; bachovu
Bakovská	bakovská; bakovský; bakovské; bakovskou
Balabenka	balabenka; balabenky; balabence; balabenku
Balkán	balkán; balkánu; balkáně
Baně	baně; bani
Barrandovská	barrandovská; barrandovský; barrandovské; barrandovskou
Barvy a laky	barvy a laky; barev a laků; barvám a lakum; barvám a lakům; barvách a lacích; barvách a lakách
Basilejské náměstí	basilejské náměstí; basilejskýho náměstí; basilejského náměstí; basilejskýmu náměstí; basilejskému náměstí; basilejský náměstí; basilejskym náměstí; basilejským náměstí; basilejském náměstí
Baterie	baterie; baterii
Bavorská	bavorská; bavorský; bavorské; bavorskou
Bazar	bazar; bazaru
Bazovského	bazovského
Bašteckého	bašteckého
Belárie	belárie; belárii
Benice	benice; benic; benicům; benicím; benicích
Benkova	benkova; benkovy; benkově; benkovu
Bertramka	bertramka; bertramky; bertramce; bertramku
Betonárka	betonárka; betonárky; betonárce; betonárku
Betáň	betáň
Bezděkovská	bezděkovská; bezděkovský; bezděkovské; bezděkovskou
Biskupcova	biskupcova; biskupcovy; biskupcově; biskupcovu
Blatiny	blatiny; blatin; blatinám; blatinách
Blatnická	blatnická; blatnický; blatnické; blatnickou
Blatov	blatov
Blažimská	blažimská; blažimský; blažimské; blažimskou
Bohdalecká	bohdalecká; bohdalecký; bohdalecké; bohdaleckou
Bohemians	bohemians
Bohnické údolí	bohnické údolí; bohnického údolí; bohnickýho údolí; bohnickýmu údolí; bohnickému údolí; bohnický údolí; bohnickym údolí; bohnickým údolí; bohnickém údolí
Bojasova	bojasova
Boletická	boletická; boletický; boletické; boletickou
Bolevecká	bolevecká; bolevecký; bolevecké; boleveckou
Boloňská	boloňská; boloňský; boloňské; boloňskou
Botanická zahrada	botanická zahrada; botanický zahrady; botanické zahrady; botanický zahradě; botanické zahradě; botanickou zahradu
Botanická zahrada Troja	botanická zahrada troja; botanický zahrady troja; botanické zahrady troja; botanický zahradě troja; botanické zahradě troja; botanickou zahradu troja
Bořislavka	bořislavka; bořislavky; bořislavce; bořislavku
Branické náměstí	branické náměstí; branického náměstí; branickýho náměstí; branickýmu náměstí; branickému náměstí; branický náměstí; branickym náměstí; branickým náměstí; branickém náměstí
Braunova	braunova; braunovy; braunově; braunovu
Brechtova	brechtova; brechtovy; brechtově; brechtovu
Breitcetlova	breitcetlova
Brodecká	brodecká; brodecký; brodecké; brodeckou
Brodského	brodského
Brozánská	brozánská
Brumlovka	brumlovka; brumlovky; brumlovce; brumlovku
Brumlovka, Za Betou	brumlovka za betou; brumlovky za betou; brumlovce za betou; brumlovku za betou
Bruselská	bruselská; bruselský; bruselské; bruselskou
Brusnice	brusnice; brusnic; brusnicí; brusnici; brusnicím; brusnicích
Bryksova	bryksova; bryksovy; bryksově; bryksovu
Bucharova	bucharova; bucharovy; bucharově; bucharovu
Budovec	budovec; budovce; budovci; budovcovi
Budějovická	budějovická; budějovický; budějovické; budějovickou
Bulovka	bulovka; bulovky; bulovce; bulovku
Butovická	butovická; butovický; butovické; butovickou
Bártlova	bártlova; bártlovy; bártlově; bártlovu
Bílenecké náměstí	bílenecké náměstí
Bílá Hora	bílá hora; bílé hory; bílý hory; bílé hoře; bílý hoře; bílou horu
Bílá labuť	bílá labuť; bílé labuti; bílé labutě; bílý labuti; bílý labutě; bílou labuť
Bílý Beránek	bílý beránek; bílého beránka; bílýho beránka; bílému beránku; bílému beránkovi; bílýmu beránku; bílýmu beránkovi; bílym beránku; bílym beránkovi; bílým beránku; bílým beránkovi; bílém beránku; bílém beránkovi
Běchovice	běchovice; běchovic; běchovicům; běchovicím; běchovicích
Bělocerkevská	bělocerkevská; bělocerkevský; bělocerkevské; bělocerkevskou
Břetislavka	břetislavka
Břevnovská	břevnovská; břevnovský; břevnovské; břevnovskou
Břevnovský klášter	břevnovský klášter; břevnovskýho kláštera; břevnovskýho klášteru; břevnovského kláštera; břevnovského klášteru; břevnovskýmu klášteru; břevnovskému klášteru; břevnovskej klášter; břevnovskym klášteru; břevnovskym klášteře; břevnovským klášteru; břevnovským klášteře; břevnovském klášteru; břevnovském klášteře
Březiněves	březiněves; březiněvsi
Březiněveská	březiněveská; březiněveský; březiněveské; březiněveskou
Cementárna Radotín	cementárna radotín; cementárny radotín; cementárně radotín; cementárnu radotín
Centrum Zahradní Město	centrum zahradní město; centra zahradní města; centru zahradní městu; centru zahradní městě
Chaplinovo náměstí	chaplinovo náměstí; chaplinova náměstí; chaplinovu náměstí; chaplinově náměstí
Chmelnice	chmelnice; chmelnic; chmelnicí; chmelnici; chmelnicím; chmelnicích
Choceradská	choceradská; choceradský; choceradské; choceradskou
Chodov	chodov; chodova; chodovu; chodově
Chodovec	chodovec; chodovce; chodovci
Chodovská	chodovská; chodovské; chodovský; chodovskou
Chodovská tvrz	chodovská tvrz; chodovské tvrz; chodovský tvrz; chodovskou tvrz
Cholupice	cholupice; cholupic; cholupicům; cholupicím; cholupicích
Cholupický vrch	cholupický vrch; cholupického vrchu; cholupickýho vrchu; cholupickýmu vrchu; cholupickému vrchu; cholupickej vrch; cholupickym vrchu; cholupickým vrchu; cholupickém vrchu
Chotkovy sady	chotkovy sady; chotkových sad; chotkovejch sad; chotkovejm sadám; chotkovým sadám; chotkových sadách; chotkovejch sadách
Chvaly	chvaly; chvalů; chvalum; chvalům; chvalech; chvalách
Chýnovská	chýnovská; chýnovský; chýnovské; chýnovskou
Cibulka	cibulka; cibulky; cibulce; cibulku
Cikánka	cikánka; cikánky; cikánce; cikánku
Ciolkovského	ciolkovského
Ctěnice	ctěnice; ctěnic; ctěnicům; ctěnicím; ctěnicích
Cukrovar Modřany	cukrovar modřany; cukrovaru modřany; cukrovaře modřany
Cukrovar Čakovice	cukrovar čakovice; cukrovaru čakovice; cukrovaře čakovice
Cílkova	cílkova; cílkovy; cílkově; cílkovu
Darwinova	darwinova; darwinovy; darwinově; darwinovu
Dejvická	dejvická; dejvický; dejvické; dejvickou; dejvice; dejvic; dejvicům; dejvicím; dejvicích; kulaťák; kulaťáku
Depo Hostivař	depo hostivař; depa hostivař; depu hostivař; hostivař; hostivaře; hostivaři
Depo Kačerov	depo kačerov; depa kačerov; depu kačerov
Depo Zličín	depo zličín; depa zličín; depu zličín
Divadlo Gong	divadlo gong; divadla gong; divadlu gong; divadle gong
Divadlo Horní Počernice	divadlo horní počernice; divadla horní počernic; divadlu horní počernicům; divadlu horní počernicím; divadle horní počernicích; divadlu horní počernicích
Divadlo Na Fidlovačce	divadlo na fidlovačce; divadla na fidlovačce; divadlu na fidlovačce; divadle na fidlovačce
Divadlo pod Palmovkou	divadlo pod palmovkou; divadla pod palmovkou; divadlu pod palmovkou; divadle pod palmovkou
Divoká Šárka	divoká šárka; divoký šárky; divoké šárky; divoký šárce; divoké šárce; divokou šárku
Dlouhá míle	dlouhá míle; dlouhé míle; dlouhý míle; dlouhé míli; dlouhý míli; dlouhou míli
Dlouhá třída	dlouhá třída; dlouhé třídy; dlouhý třídy; dlouhé třídě; dlouhý třídě; dlouhou třídu
Do Lipan	do lipan
Do Rybníčků	do rybníčků
Do Čertous	do čertous
Dobeška	dobeška; dobešky; dobeškovi; dobešku
Dobratická	dobratická; dobratický; dobratické; dobratickou
Dobronická	dobronická; dobronický; dobronické; dobronickou
Dobročovická	dobročovická; dobročovický; dobročovické; dobročovickou
Doležalova	doležalova; doležalovy; doležalově; doležalovu
Doliny	doliny; dolin; dolinám; dolinách
Dolnokrčská	dolnokrčská
Dolnokřeslická	dolnokřeslická
Dolnoměcholupská	dolnoměcholupská; dolnoměcholupský; dolnoměcholupské; dolnoměcholupskou
Dolní Chabry	dolní chabry; dolních chabrů; dolnim chabrum; dolnim chabrům; dolním chabrum; dolním chabrům; dolních chabrech; dolních chabrách
Dolní Měcholupy	dolní měcholupy; dolních měcholup; dolnim měcholupum; dolnim měcholupům; dolním měcholupum; dolním měcholupům; dolních měcholupech; dolních měcholupách
Dolní Počernice	dolní počernice; dolních počernic; dolnim počernicům; dolnim počernicím; dolním počernicům; dolním počernicím; dolních počernicích
Dolní Šárka	dolní šárka; dolní šárky; dolní šárce; dolní šárku
Domov seniorů Ďáblice	domov seniorů ďáblice; domova seniorů ďáblic; domova seniorů ďáblice; domova seniorů ďáblicí; domovu seniorů ďáblici; domovu seniorů ďáblicím; domov seniorů ďáblici; domovu seniorů ďáblicích; domově seniorů ďáblici; domově seniorů ďáblicích
Donatellova	donatellova; donatellovy; donatellově; donatellovu
Donovalská	donovalská; donovalské; donovalský; donovalskou
Dostihová	dostihová; dostihové; dostihový; dostihovou
Drazdecká	drazdecká
Dreyerova	dreyerova; dreyerovy; dreyerově; dreyerovu
Drinopol	drinopol; drinopolu; drinopole
Drobná	drobná; drobné; drobný; drobnou
Druhanická	druhanická
Družná	družná; družné; družný; družnou
Dubeč	dubeč; dubče; dubči
Dubeček	dubeček; dubečku
Dunajecká	dunajecká
Dvorce	dvorce; dvorců; dvorcum; dvorcům; dvorcích; žluté lázně; žlutých lázní; žlutejch lázní; žlutým lázním; žlutejm lázním; žlutý lázně; žlutých lázních; žlutejch lázních
Dyrinka	dyrinka
Dívčí hrady	dívčí hrady; dívčích hradů; dívčim hradum; dívčim hradům; dívčím hradum; dívčím hradům; dívčích hradech
Dědina	dědina; dědiny; dědině; dědinu; sídliště dědina; sídlišti dědina
Dědinova	dědinova; dědinovy; dědinově; dědinovu
Děkanka	děkanka; děkanky; děkance; děkanku
Dělnická	dělnická; dělnický; dělnické; dělnickou
Dětská nemocnice Karlov	dětská nemocnice karlov; dětské nemocnice karlov; dětský nemocnice karlov; dětské nemocnici karlov; dětský nemocnici karlov; dětskou nemocnici karlov
Dřevařská	dřevařská; dřevařský; dřevařské; dřevařskou
Důstojnické domy	důstojnické domy; důstojnickejch domů; důstojnických domů; důstojnickejm domum; důstojnickejm domům; důstojnickým domum; důstojnickým domům; důstojnický domy; důstojnickejch domech; důstojnických domech
Elišky Přemyslovny	elišky přemyslovny; elišek přemyslovny; eliškám přemyslovny; eliškách přemyslovny
Farkáň	farkáň
Filadelfie	filadelfie; filadelfii
Filmové ateliéry	filmové ateliéry; filmových ateliérů; filmovejch ateliérů; filmovým ateliérum; filmovým ateliérům; filmovejm ateliérum; filmovejm ateliérům; filmový ateliéry; filmových ateliérech; filmovejch ateliérech
Filosofská	filosofská; filosofský; filosofské; filosofskou
Flora	flora; flory; floře; floru
Florenc	florenc; florence; florenci
Formanská	formanská; formanský; formanské; formanskou
Františka Veselého	františka veselého; františky veselého; františce veselého; františku veselého
Franty Kocourka	franty kocourka
Frančíkova	frančíkova; frančíkovy; frančíkově; frančíkovu
Fruta	fruta; fruty; frutě; frutu
Fryčovická	fryčovická; fryčovický; fryčovické; fryčovickou
Garáže Klíčov	garáže klíčov; garáží klíčov; garážím klíčov; garážích klíčov
Generála Janouška	generála janouška
Geologická	geologická; geologický; geologické; geologickou
Gercenova	gercenova; gercenovy; gercenově; gercenovu
Globus	globus; globu; globusu; glóbu; glóbusu; glóbus
Grussova	grussova; grussovy; grussově; grussovu
Habrová	habrová; habrové; habrový; habrovou
Hadovitá	hadovitá; hadovité; hadovitý; hadovitou
Hadovka	hadovka; hadovky; hadovce; hadovku
Halenkovská	halenkovská; halenkovský; halenkovské; halenkovskou
Hanspaulka	hanspaulka; hanspaulky; hanspaulce; hanspaulku
Hasičská	hasičská; hasičský; hasičské; hasičskou
Hasova	hasova; hasovy; hasově; hasovu
Hejtmanská	hejtmanská; hejtmanský; hejtmanské; hejtmanskou
Hellichova	hellichova; hellichovy; hellichově; hellichovu
Hlavní	hlavní; hlavních; hlavnim; hlavním
Hlavní nádraží	hlavní nádraží; hlavního nádraží; hlavnímu nádraží; hlavnim nádraží; hlavním nádraží
Hloubětín	hloubětín; hloubětína; hloubětínu; hloubětíně
Hloubětínská	hloubětínská; hloubětínský; hloubětínské; hloubětínskou
Hlubočepská	hlubočepská; hlubočepský; hlubočepské; hlubočepskou
Hlubočepy	hlubočepy; hlubočep; hlubočepum; hlubočepům; hlubočepech; hlubočepích; hlubočepách
Hlušičkova	hlušičkova; hlušičkovy; hlušičkově; hlušičkovu
Hládkov	hládkov; hládkova; hládkovu; hládkově
Hněvkovského	hněvkovského
Holečkova	holečkova; holečkovy; holečkově; holečkovu
Holoubkovská	holoubkovská; holoubkovský; holoubkovské; holoubkovskou
Holyně	holyně; holyni
Horky	horky; horek; horkám; horkách
Hornocholupická	hornocholupická; hornocholupický; hornocholupické; hornocholupickou
Horní cesta	horní cesta; horní cesty; horní cestě; horní cestu
Horoměřická	horoměřická; horoměřický; horoměřické; horoměřickou
Horčičkova	horčičkova; horčičkovy; horčičkově; horčičkovu
Hostavice	hostavice; hostavic; hostavicům; hostavicím; hostavicích
Hostivařská	hostivařská; hostivařský; hostivařské; hostivařskou
Hostivařské náměstí	hostivařské náměstí; hostivařskýho náměstí; hostivařského náměstí; hostivařskýmu náměstí; hostivařskému náměstí; hostivařský náměstí; hostivařskym náměstí; hostivařským náměstí; hostivařském náměstí
Hostýnská	hostýnská; hostýnský; hostýnské; hostýnskou
Hotel Golf	hotel golf; hotelu golf
Hradčanská	hradčanská; hradčanský; hradčanské; hradčanskou; hradčany; hradčan; hradčanám; hradčanách; hradčanské náměstí; hradčanskýho náměstí; hradčanského náměstí; hradčanskýmu náměstí; hradčanskému náměstí; hradčanský náměstí; hradčanskym náměstí; hradčanským náměstí; hradčanském náměstí
Hrazanská	hrazanská
Hrnčíře	hrnčíře
Hrnčířský hřbitov	hrnčířský hřbitov; hrnčířskýho hřbitova; hrnčířského hřbitova; hrnčířskýmu hřbitovu; hrnčířskému hřbitovu; hrnčířskej hřbitov; hrnčířskym hřbitovu; hrnčířskym hřbitově; hrnčířským hřbitovu; hrnčířským hřbitově; hrnčířském hřbitovu; hrnčířském hřbitově
Hulická	hulická
